Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
id_case,hasco:originalID,??case,,schema:Interger,,,,,,,,
initial_questionnarie,ontriscal:FullName,??beginningquestionnaire,,schema:String,,,,,,,,
DS1,ontriscal:Age,??beginningquestionnaire,,schema:Interger,,,,,,,,
DS2,ontriscal:Gender,??beginningquestionnaire,,schema:Interger,,,,,,,,
DS3,ontriscal:CivilStatus,??beginningquestionnaire,,schema:Interger,,,,,,,,
G11,ontriscal:Anxiety,??beginningquestionnaire,,schema:Interger,,,,,,,,
G14,ontriscal:BalanceDisorder,??beginningquestionnaire,,schema:Interger,,,,,,,,
G16,ontriscal:Nervous,??beginningquestionnaire,,schema:Interger,,,,,,,,
G18,ontriscal:InabilityToRelax,??beginningquestionnaire,,schema:Interger,,,,,,,,
Pontuacao,ontriscal:Score,??beginningquestionnaire,,schema:Interger,,,,,,,,
Nivelderisco,ontriscal:RiskLevel,??beginningquestionnaire,,schema:String,,,,,,,,
??case,,,sio:Human,,,ontriscal:patientAnswersQuestionnaire,??beginningquestionnaire,,,,,
??beginningquestionnaire,,,ontriscal:Questionnarie,,,ontriscal:questionnaireAnsweredBy,??case,,,,,
